"|","|__code","|__name","|__description","|__keywords__-","|__keywords","|__children__001","|__children__002","|__children__003","|__children__004","|__children__005","|__children__006","|__children__007","|__children__008","|__parent"
"","","","","","USDA Food Pyramid","","","","","","","","",""
"","","","","","Vegetarianism.","","","","","","","","",""
"","","","","","WIC","","","","","","","","",""
"5bb3ae2dda3c38c71367bd37","K50","Home Economics","Organizations that provide instruction that deals with the basic activities of homemaking including caring for and managing children, shopping for and preparing nutritious meals, maintaining a clean and safe living environment, and other in-home responsibilities.","","Family Life","","","","","","","","","5bc787dada3c38f0620b0248"
"","","","","","Homemaking","","","","","","","","",""
"","","","","","Housekeeping","","","","","","","","",""
"5bb3ae2dda3c38c71367bd38","L20","Housing Development, Construction & Management","Organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). ","","Accessible Housing","5bb3ae2dda3c38c71367bd39","5bb3ae2dda3c38c71367bd3a","5bb3ae2dda3c38c71367bd3b","5bb3ae2dda3c38c71367bd3c","","","","","5bc787dada3c38f0620b0249"
"","","","","","Affordable Housing","","","","","","","","",""
"","","","","","Barrier-Free Housing","","","","","","","","",""
"","","","","","Habitat for Humanity","","","","","","","","",""
"","","","","","Housing Construction","","","","","","","","",""
"","","","","","Housing Cooperatives","","","","","","","","",""
"","","","","","Housing Development","","","","","","","","",""
"","","","","","Housing Management","","","","","","","","",""
"","","","","","Inexpensive Housing","","","","","","","","",""
"","","","","","Low Cost Housing","","","","","","","","",""
"","","","","","Low Income Housing","","","","","","","","",""
"","","","","","Low to Moderate Cost Housing","","","","","","","","",""
"","","","","","Low to Moderate Income Housing","","","","","","","","",""
"","","","","","Mobile Home Parks","","","","","","","","",""
"","","","","","Moderate Income Housing","","","","","","","","",""
"","","","","","Rooming Houses","","","","","","","","",""
"","","","","","Shared Housing","","","","","","","","",""
"","","","","","Single Room Occupancy","","","","","","","","",""
"","","","","","SRO Hotels","","","","","","","","",""
"","","","","","SRO Housing","","","","","","","","",""
"","","","","","SROs","","","","","","","","",""
"","","","","","Sweat Equity","","","","","","","","",""
"","","","","","Urban Homesteading","","","","","","","","",""
"5bb3ae2dda3c38c71367bd39","L21","Low-Income & Subsidized Rental Housing","Organizations that develop, rehabilitate, manage and/or provide rental housing that is available to people who qualify on the basis of income, age or disability for publicly subsidized housing e.g., HUD housing or housing assistance under Section 8 of the Housing and Urban Development Act.","","Farm Labor Housing Program","","","","","","","","","5bb3ae2dda3c38c71367bd38"
"","","","","","Federal Leased Housing","","","","","","","","",""
"","","","","","FMHA 515","","","","","","","","",""
"","","","","","Government Subsidized Housing","","","","","","","","",""
"","","","","","Housing and Urban Development Housing","","","","","","","","",""
"","","","","","Housing Authorities","","","","","","","","",""
"","","","","","HUD Housing","","","","","","","","",""
"","","","","","Leased Housing","","","","","","","","",""
"","","","","","Low and Moderate Income Housing","","","","","","","","",""
"","","","","","Low Income and Affordable Housing","","","","","","","","",""
"","","","","","Public Housing","","","","","","","","",""
"","","","","","Rent Subsidies","","","","","","","","",""
"","","","","","RHS Programs","","","","","","","","",""
"","","","","","Rural Housing Service","","","","","","","","",""
"","","","","","Section 202","","","","","","","","",""
"","","","","","Section 231","","","","","","","","",""
"","","","","","Section 236","","","","","","","","",""
"","","","","","Section 8","","","","","","","","",""
"","","","","","Section 811, Section 221(d)(3)","","","","","","","","",""
"","","","","","Section 221(d)(4)Subsidized Housing","","","","","","","","",""
"","","","","","Subsidized Rental Housing","","","","","","","","",""
"5bb3ae2dda3c38c71367bd3a","L22","Senior Citizens Housing & Retirement Communities","Residential options exclusively for older adults who want to have a simpler, maintenance-free lifestyle and enjoy the company of peers with common interests, or who require a moderate amount of support in the activities of daily living to maintain independent living.","","Age Restricted Communities","","","","","","","","","5bb3ae2dda3c38c71367bd38"
"","","","","","Agency on Aging Apartments","","","","","","","","",""
"","","","","","Elderly Housing","","","","","","","","",""
"","","","","","HUD 202","","","","","","","","",""
"","","","","","Retirement Communities","","","","","","","","",""
"","","","","","Retirement Homes","","","","","","","","",""
"","","","","","Section 202 Supportive Housing for the Elderly","","","","","","","","",""
"","","","","","Senior Apartment Complexes","","","","","","","","",""
"","","","","","Senior Citizens Housing","","","","","","","","",""
"","","","","","Senior Citizens Retirement Communities","","","","","","","","",""
"","","","","","Senior Congregate Living Facilities","","","","","","","","",""
"","","","","","Senior Retirement Communities","","","","","","","","",""
"5bb3ae2dda3c38c71367bd3b","L24","Independent Housing for People with Disabilities","Organizations that develop, manage and/or provide rental housing with the availability of supportive services for individuals with disabilities.","","HUD 811","","","","","","","","","5bb3ae2dda3c38c71367bd38"
"","","","","","Section 811 Supportive Housing for Persons with Disabilities.","","","","","","","","",""
"5bb3ae2dda3c38c71367bd3c","L25","Housing Rehabilitation","Organizations that clear slums and renew or rehabilitate old housing and other structures including abandoned buildings in blighted and depressed residential neighborhoods in order to provide a safe, sanitary and pleasant place for people to live.","","","","","","","","","","","5bb3ae2dda3c38c71367bd38"
"5bb3ae2dda3c38c71367bd3d","L30","Housing Search Assistance","Organizations that assist people to find available purchasable or rental housing which meets their individual needs.","","Home Purchase Listings","","","","","","","","","5bc787dada3c38f0620b0249"
"","","","","","Home Rental Listings","","","","","","","","",""
"","","","","","Housing Search and Information","","","","","","","","",""
"","","","","","Relocation Assistance","","","","","","","","",""
"","","","","","Roommate Matching Assistance","","","","","","","","",""
"5bb3ae2dda3c38c71367bd3e","L40","Temporary Housing","Organizations that provide a temporary place to stay for newcomers, travelers, people who are in crisis, or homeless individuals in the community.","","Bridge Housing for Homeless People","5bb3ae2dda3c38c71367bd3f","5bb3ae32da3c38c71367bd9f","","","","","","","5bc787dada3c38f0620b0249"
"","","","","","Emergency Housing","","","","","","","","",""
"","","","","","Hostels","","","","","","","","",""
"","","","","","Temporary Accommodations","","","","","","","","",""
"","","","","","Transitional Housing","","","","","","","","",""
"","","","","","Transitional Living Centers","","","","","","","","",""
"","","","","","Transitional Shelter","","","","","","","","",""
"","","","","","Youth Hostels","","","","","","","","",""
"5bb3ae2dda3c38c71367bd3f","L41","Homeless Shelters","Organizations that provide a temporary place to stay for people who have no permanent housing.","","Bad Weather Shelters","","","","","","","","","5bb3ae2dda3c38c71367bd3e"
"","","","","","Bridge Housing","","","","","","","","",""
"","","","","","Community Shelters","","","","","","","","",""
"","","","","","Mission Housing","","","","","","","","",""
"","","","","","Motel Vouchers","","","","","","","","",""
"","","","","","Urban Campsites","","","","","","","","",""
"","","","","","Overnight Shelters","","","","","","","","",""
"5bb3ae2dda3c38c71367bd40","L80","Housing Support","Organizations that provide supportive services which help people obtain and remain in suitable housing. ","","Home Purchase Counseling","5bb3ae2dda3c38c71367bd41","5bb3ae2dda3c38c71367bd42","","","","","","","5bc787dada3c38f0620b0249"
